2024-03-11 15:53:27,676 | INFO | hilo : 
+==============================================================+
|                                                              |
| ██████╗  █████╗ ██████╗ ██╗         ██╗      █████╗ ██████╗  |
| ██╔══██╗██╔══██╗██╔══██╗██║         ██║     ██╔══██╗██╔══██╗ |
| ██║  ██║███████║██║  ██║██║         ██║     ███████║██████╔╝ |
| ██║  ██║██╔══██║██║  ██║██║         ██║     ██╔══██║██╔══██╗ |
| ██████╔╝██║  ██║██████╔╝███████╗    ███████╗██║  ██║██████╔╝ |
| ╚═════╝ ╚═╝  ╚═╝╚═════╝ ╚══════╝    ╚══════╝╚═╝  ╚═╝╚═════╝  |
+==============================================================+
|             Hi-Lo Resolution Image Classification            |
|             -------------------------------------            |
|                       Gabriel C. Trahan                      |
|                          Sahan Ahmad                         |
|                       MD  Aminual Islam                      |
+==============================================================+
2024-03-11 15:53:29,287 | INFO | hilo.dataset-accessor : Fetching dataset: imagenet
2024-03-11 15:53:29,288 | INFO | hilo.imagenet-dataset : Initializing transform.
2024-03-11 15:53:29,288 | INFO | hilo.imagenet-dataset : Verifying/downloading train data.
2024-03-11 15:53:31,951 | INFO | hilo.imagenet-dataset : Verifying/downloading test data.
2024-03-11 15:53:31,972 | INFO | hilo.imagenet-dataset : Creating train data loader.
2024-03-11 17:43:04,522 | INFO | hilo : Epoch  84/200 | Accuracy:   0.0000 | Loss:   5.2982
2024-03-11 17:44:25,297 | INFO | hilo : Epoch  85/200 | Accuracy:   0.0000 | Loss:   5.2980
2024-03-11 17:45:46,127 | INFO | hilo : Epoch  86/200 | Accuracy:   0.0000 | Loss:   5.3001
2024-03-11 17:47:07,129 | INFO | hilo : Epoch  87/200 | Accuracy:   0.0000 | Loss:   5.2975
2024-03-11 17:48:28,010 | INFO | hilo : Epoch  88/200 | Accuracy:   0.0000 | Loss:   5.2987
2024-03-11 17:49:49,159 | INFO | hilo : Epoch  89/200 | Accuracy:   0.0000 | Loss:   5.3004
2024-03-11 17:51:10,341 | INFO | hilo : Epoch  90/200 | Accuracy:   0.0000 | Loss:   5.2988
2024-03-11 17:52:31,494 | INFO | hilo : Epoch  91/200 | Accuracy:   0.0000 | Loss:   5.2993
2024-03-11 17:53:52,735 | INFO | hilo : Epoch  92/200 | Accuracy:   0.0000 | Loss:   5.2994
2024-03-11 17:55:13,996 | INFO | hilo : Epoch  93/200 | Accuracy:   0.0000 | Loss:   5.2980
2024-03-11 17:56:35,392 | INFO | hilo : Epoch  94/200 | Accuracy:   0.0000 | Loss:   5.2990
2024-03-11 17:57:56,870 | INFO | hilo : Epoch  95/200 | Accuracy:   0.0000 | Loss:   5.2993
2024-03-11 17:59:18,396 | INFO | hilo : Epoch  96/200 | Accuracy:   0.0000 | Loss:   5.2991
2024-03-11 18:00:39,931 | INFO | hilo : Epoch  97/200 | Accuracy:   0.0000 | Loss:   5.2995
2024-03-11 18:02:01,553 | INFO | hilo : Epoch  98/200 | Accuracy:   0.0000 | Loss:   5.2984
2024-03-11 18:03:23,184 | INFO | hilo : Epoch  99/200 | Accuracy:   0.0000 | Loss:   5.2999
2024-03-11 18:04:44,947 | INFO | hilo : Epoch 100/200 | Accuracy:   0.0000 | Loss:   5.2992
2024-03-11 18:06:06,638 | INFO | hilo : Epoch 101/200 | Accuracy:   0.0000 | Loss:   5.2987
2024-03-11 18:07:28,545 | INFO | hilo : Epoch 102/200 | Accuracy:   0.0000 | Loss:   5.2977
2024-03-11 18:08:50,689 | INFO | hilo : Epoch 103/200 | Accuracy:   0.0000 | Loss:   5.2983
2024-03-11 18:10:12,732 | INFO | hilo : Epoch 104/200 | Accuracy:   0.0000 | Loss:   5.2990
2024-03-11 18:11:34,594 | INFO | hilo : Epoch 105/200 | Accuracy:   0.0000 | Loss:   5.2988
2024-03-11 18:12:56,699 | INFO | hilo : Epoch 106/200 | Accuracy:   0.0000 | Loss:   5.2979
2024-03-11 18:14:18,875 | INFO | hilo : Epoch 107/200 | Accuracy:   0.0000 | Loss:   5.2986
2024-03-11 18:15:41,228 | INFO | hilo : Epoch 108/200 | Accuracy:   0.0000 | Loss:   5.2986
2024-03-11 18:17:03,463 | INFO | hilo : Epoch 109/200 | Accuracy:   0.0000 | Loss:   5.2981
2024-03-11 18:18:25,744 | INFO | hilo : Epoch 110/200 | Accuracy:   0.0000 | Loss:   5.2990
2024-03-11 18:19:48,268 | INFO | hilo : Epoch 111/200 | Accuracy:   0.0000 | Loss:   5.2988
2024-03-11 18:21:10,604 | INFO | hilo : Epoch 112/200 | Accuracy:   0.0000 | Loss:   5.2983
2024-03-11 18:22:33,037 | INFO | hilo : Epoch 113/200 | Accuracy:   0.0000 | Loss:   5.2982
2024-03-11 18:23:55,431 | INFO | hilo : Epoch 114/200 | Accuracy:   0.0000 | Loss:   5.2985
2024-03-11 18:25:17,925 | INFO | hilo : Epoch 115/200 | Accuracy:   0.0000 | Loss:   5.2981
2024-03-11 18:26:40,368 | INFO | hilo : Epoch 116/200 | Accuracy:   0.0000 | Loss:   5.2986
2024-03-11 18:28:03,054 | INFO | hilo : Epoch 117/200 | Accuracy:   0.0000 | Loss:   5.2988
2024-03-11 18:29:25,599 | INFO | hilo : Epoch 118/200 | Accuracy:   0.0000 | Loss:   5.2982
