2023-12-27 17:21:28,817 | INFO | hilo : 
+==============================================================+
|                                                              |
| ██████╗  █████╗ ██████╗ ██╗         ██╗      █████╗ ██████╗  |
| ██╔══██╗██╔══██╗██╔══██╗██║         ██║     ██╔══██╗██╔══██╗ |
| ██║  ██║███████║██║  ██║██║         ██║     ███████║██████╔╝ |
| ██║  ██║██╔══██║██║  ██║██║         ██║     ██╔══██║██╔══██╗ |
| ██████╔╝██║  ██║██████╔╝███████╗    ███████╗██║  ██║██████╔╝ |
| ╚═════╝ ╚═╝  ╚═╝╚═════╝ ╚══════╝    ╚══════╝╚═╝  ╚═╝╚═════╝  |
+==============================================================+
|             Hi-Lo Resolution Image Classification            |
|             -------------------------------------            |
|                       Gabriel C. Trahan                      |
|                          Sahan Ahmad                         |
|                       MD  Aminual Islam                      |
+==============================================================+
2023-12-27 17:21:30,436 | INFO | hilo.dataset-accessor : Fetching dataset: mnist
2023-12-27 17:21:30,436 | INFO | hilo.mnist-dataset : Initializing transform.
2023-12-27 17:21:30,436 | INFO | hilo.mnist-dataset : Verifying/downloading train data.
2023-12-27 17:21:33,953 | INFO | hilo.mnist-dataset : Verifying/downloading test data.
2023-12-27 17:21:33,960 | INFO | hilo.mnist-dataset : Creating train data loader.
2023-12-27 17:30:18,396 | INFO | hilo : Epoch  68/200 | Accuracy: 100.0000 | Loss:   0.0047
2023-12-27 17:30:26,707 | INFO | hilo : Epoch  69/200 | Accuracy: 100.0000 | Loss:   0.0036
2023-12-27 17:30:35,052 | INFO | hilo : Epoch  70/200 | Accuracy: 100.0000 | Loss:   0.0022
2023-12-27 17:30:43,343 | INFO | hilo : Epoch  71/200 | Accuracy: 100.0000 | Loss:   0.0017
2023-12-27 17:30:51,689 | INFO | hilo : Epoch  72/200 | Accuracy:  99.4792 | Loss:   0.0048
2023-12-27 17:31:00,085 | INFO | hilo : Epoch  73/200 | Accuracy: 100.0000 | Loss:   0.0095
2023-12-27 17:31:08,540 | INFO | hilo : Epoch  74/200 | Accuracy: 100.0000 | Loss:   0.0016
2023-12-27 17:31:16,957 | INFO | hilo : Epoch  75/200 | Accuracy: 100.0000 | Loss:   0.0017
2023-12-27 17:31:25,497 | INFO | hilo : Epoch  76/200 | Accuracy: 100.0000 | Loss:   0.0012
2023-12-27 17:31:34,102 | INFO | hilo : Epoch  77/200 | Accuracy: 100.0000 | Loss:   0.0007
2023-12-27 17:31:42,784 | INFO | hilo : Epoch  78/200 | Accuracy:  99.8047 | Loss:   0.0002
2023-12-27 17:31:51,476 | INFO | hilo : Epoch  79/200 | Accuracy: 100.0000 | Loss:   0.0039
2023-12-27 17:32:00,088 | INFO | hilo : Epoch  80/200 | Accuracy: 100.0000 | Loss:   0.0016
2023-12-27 17:32:08,802 | INFO | hilo : Epoch  81/200 | Accuracy: 100.0000 | Loss:   0.0007
2023-12-27 17:32:17,754 | INFO | hilo : Epoch  82/200 | Accuracy:  99.8047 | Loss:   0.0028
2023-12-27 17:32:26,546 | INFO | hilo : Epoch  83/200 | Accuracy: 100.0000 | Loss:   0.0019
2023-12-27 17:32:35,409 | INFO | hilo : Epoch  84/200 | Accuracy:  99.4978 | Loss:   0.0014
2023-12-27 17:32:44,274 | INFO | hilo : Epoch  85/200 | Accuracy: 100.0000 | Loss:   0.0023
2023-12-27 17:32:53,153 | INFO | hilo : Epoch  86/200 | Accuracy: 100.0000 | Loss:   0.0019
2023-12-27 17:33:02,008 | INFO | hilo : Epoch  87/200 | Accuracy:  99.5833 | Loss:   0.0008
2023-12-27 17:33:10,956 | INFO | hilo : Epoch  88/200 | Accuracy: 100.0000 | Loss:   0.0017
2023-12-27 17:33:20,025 | INFO | hilo : Epoch  89/200 | Accuracy: 100.0000 | Loss:   0.0017
2023-12-27 17:33:28,987 | INFO | hilo : Epoch  90/200 | Accuracy:  99.4485 | Loss:   0.0015
2023-12-27 17:33:37,988 | INFO | hilo : Epoch  91/200 | Accuracy: 100.0000 | Loss:   0.0021
2023-12-27 17:33:47,036 | INFO | hilo : Epoch  92/200 | Accuracy: 100.0000 | Loss:   0.0011
2023-12-27 17:33:56,148 | INFO | hilo : Epoch  93/200 | Accuracy:  99.6094 | Loss:   0.0009
2023-12-27 17:34:05,221 | INFO | hilo : Epoch  94/200 | Accuracy: 100.0000 | Loss:   0.0008
2023-12-27 17:34:14,299 | INFO | hilo : Epoch  95/200 | Accuracy: 100.0000 | Loss:   0.0044
2023-12-27 17:34:23,457 | INFO | hilo : Epoch  96/200 | Accuracy: 100.0000 | Loss:   0.0067
2023-12-27 17:34:32,554 | INFO | hilo : Epoch  97/200 | Accuracy: 100.0000 | Loss:   0.0017
2023-12-27 17:34:41,734 | INFO | hilo : Epoch  98/200 | Accuracy:  99.7768 | Loss:   0.0027
2023-12-27 17:34:50,869 | INFO | hilo : Epoch  99/200 | Accuracy:  99.6875 | Loss:   0.0012
2023-12-27 17:35:00,007 | INFO | hilo : Epoch 100/200 | Accuracy:  99.5949 | Loss:   0.0013
2023-12-27 17:35:09,258 | INFO | hilo : Epoch 101/200 | Accuracy:  99.4629 | Loss:   0.0041
2023-12-27 17:35:18,476 | INFO | hilo : Epoch 102/200 | Accuracy: 100.0000 | Loss:   0.0019
2023-12-27 17:35:27,727 | INFO | hilo : Epoch 103/200 | Accuracy: 100.0000 | Loss:   0.0007
2023-12-27 17:35:36,967 | INFO | hilo : Epoch 104/200 | Accuracy: 100.0000 | Loss:   0.0007
2023-12-27 17:35:46,242 | INFO | hilo : Epoch 105/200 | Accuracy: 100.0000 | Loss:   0.0021
2023-12-27 17:35:55,563 | INFO | hilo : Epoch 106/200 | Accuracy:  99.6875 | Loss:   0.0040
2023-12-27 17:36:04,866 | INFO | hilo : Epoch 107/200 | Accuracy: 100.0000 | Loss:   0.0032
2023-12-27 17:36:14,284 | INFO | hilo : Epoch 108/200 | Accuracy: 100.0000 | Loss:   0.0025
2023-12-27 17:36:23,697 | INFO | hilo : Epoch 109/200 | Accuracy: 100.0000 | Loss:   0.0038
2023-12-27 17:36:33,139 | INFO | hilo : Epoch 110/200 | Accuracy: 100.0000 | Loss:   0.0067
2023-12-27 17:36:42,663 | INFO | hilo : Epoch 111/200 | Accuracy:  99.7768 | Loss:   0.0091
2023-12-27 17:36:52,168 | INFO | hilo : Epoch 112/200 | Accuracy:  99.5536 | Loss:   0.0008
2023-12-27 17:37:01,757 | INFO | hilo : Epoch 113/200 | Accuracy:  99.6745 | Loss:   0.0043
2023-12-27 17:37:11,269 | INFO | hilo : Epoch 114/200 | Accuracy: 100.0000 | Loss:   0.0020
2023-12-27 17:37:20,841 | INFO | hilo : Epoch 115/200 | Accuracy: 100.0000 | Loss:   0.0015
2023-12-27 17:37:30,508 | INFO | hilo : Epoch 116/200 | Accuracy:  99.5536 | Loss:   0.0026
2023-12-27 17:37:40,137 | INFO | hilo : Epoch 117/200 | Accuracy: 100.0000 | Loss:   0.0026
2023-12-27 17:37:49,791 | INFO | hilo : Epoch 118/200 | Accuracy: 100.0000 | Loss:   0.0016
2023-12-27 17:37:59,423 | INFO | hilo : Epoch 119/200 | Accuracy: 100.0000 | Loss:   0.0005
