MODEL,DATASET,DISTRIBUTION,KERNEL TYPE,BEST TRAIN ACCURACY,AT EPOCH,TEST ACCURACY
resnet,cifar100,gaussian,8,--,--,--
resnet,cifar100,gaussian,9,--,--,--
resnet,cifar100,gaussian,10,--,--,--
resnet,cifar100,gaussian,11,--,--,--
resnet,cifar100,gaussian,12,--,--,--
resnet,cifar100,gaussian,13,--,--,--
resnet,cifar100,gaussian,14,--,--,--
resnet,cifar100,gumbel,1,--,--,--
resnet,cifar100,gumbel,2,--,--,--
resnet,cifar100,gumbel,3,--,--,--
resnet,cifar100,gumbel,4,--,--,--
resnet,cifar100,gumbel,5,--,--,--
resnet,cifar100,gumbel,6,--,--,--
resnet,cifar100,gumbel,7,--,--,--
resnet,cifar100,gumbel,8,--,--,--
resnet,cifar100,gumbel,9,--,--,--
resnet,cifar100,gumbel,10,--,--,--
resnet,cifar100,gumbel,11,--,--,--
resnet,cifar100,gumbel,12,--,--,--
resnet,cifar100,gumbel,13,--,--,--
resnet,cifar100,gumbel,14,--,--,--
resnet,cifar100,laplace,1,--,--,--
resnet,cifar100,laplace,2,--,--,--
resnet,cifar100,laplace,3,--,--,--
resnet,cifar100,laplace,4,--,--,--
resnet,cifar100,laplace,5,--,--,--
resnet,cifar100,laplace,6,--,--,--
resnet,cifar100,laplace,7,--,--,--
resnet,cifar100,laplace,8,--,--,--
resnet,cifar100,laplace,9,--,--,--
resnet,cifar100,laplace,10,--,--,--
resnet,cifar100,laplace,11,--,--,--
resnet,cifar100,laplace,12,--,--,--
resnet,cifar100,laplace,13,--,--,--
resnet,cifar100,laplace,14,--,--,--
resnet,cifar100,poisson,1,--,--,--
resnet,cifar100,poisson,2,--,--,--
resnet,cifar100,poisson,3,--,--,--
resnet,cifar100,poisson,4,--,--,--
resnet,cifar100,poisson,5,--,--,--
resnet,cifar100,poisson,6,--,--,--
resnet,cifar100,poisson,7,--,--,--
resnet,cifar100,poisson,8,--,--,--
resnet,cifar100,poisson,9,--,--,--
resnet,cifar100,poisson,10,--,--,--
resnet,cifar100,poisson,11,--,--,--
resnet,cifar100,poisson,12,--,--,--
resnet,cifar100,poisson,13,--,--,--
resnet,cifar100,poisson,14,--,--,--
resnet,imagenet,none,--,--,--,--
resnet,imagenet,cauchy,1,--,--,--
resnet,imagenet,cauchy,2,--,--,--
resnet,imagenet,cauchy,3,--,--,--
resnet,imagenet,cauchy,4,--,--,--
resnet,imagenet,cauchy,5,--,--,--
resnet,imagenet,cauchy,6,--,--,--
resnet,imagenet,cauchy,7,--,--,--
resnet,imagenet,cauchy,8,--,--,--
resnet,imagenet,cauchy,9,--,--,--
resnet,imagenet,cauchy,10,--,--,--
resnet,imagenet,cauchy,11,--,--,--
resnet,imagenet,cauchy,12,--,--,--
resnet,imagenet,cauchy,13,--,--,--
resnet,imagenet,cauchy,14,--,--,--
resnet,imagenet,gaussian,1,--,--,--
resnet,imagenet,gaussian,2,--,--,--
resnet,imagenet,gaussian,3,--,--,--
resnet,imagenet,gaussian,4,--,--,--
resnet,imagenet,gaussian,5,--,--,--
resnet,imagenet,gaussian,6,--,--,--
resnet,imagenet,gaussian,7,--,--,--
resnet,imagenet,gaussian,8,--,--,--
resnet,imagenet,gaussian,9,--,--,--
resnet,imagenet,gaussian,10,--,--,--
resnet,imagenet,gaussian,11,--,--,--
resnet,imagenet,gaussian,12,--,--,--
resnet,imagenet,gaussian,13,--,--,--
resnet,imagenet,gaussian,14,--,--,--
resnet,imagenet,gumbel,1,--,--,--
resnet,imagenet,gumbel,2,--,--,--
resnet,imagenet,gumbel,3,--,--,--
resnet,imagenet,gumbel,4,--,--,--
resnet,imagenet,gumbel,5,--,--,--
resnet,imagenet,gumbel,6,--,--,--
resnet,imagenet,gumbel,7,--,--,--
resnet,imagenet,gumbel,8,--,--,--
resnet,imagenet,gumbel,9,--,--,--
