MODEL,DATASET,DISTRIBUTION,KERNEL TYPE,BEST ACCURACY,EPOCH,TEST ACCURACY
resnet,svhn,gumbel,14,--,--,--
resnet,svhn,laplace,1,--,--,--
resnet,svhn,laplace,2,--,--,--
resnet,svhn,laplace,3,--,--,--
resnet,svhn,laplace,4,--,--,--
resnet,svhn,laplace,5,--,--,--
resnet,svhn,laplace,6,--,--,--
resnet,svhn,laplace,7,--,--,--
resnet,svhn,laplace,8,--,--,--
resnet,svhn,laplace,9,--,--,--
resnet,svhn,laplace,10,--,--,--
resnet,svhn,laplace,11,--,--,--
resnet,svhn,laplace,12,--,--,--
resnet,svhn,laplace,13,--,--,--
resnet,svhn,laplace,14,--,--,--
resnet,svhn,poisson,1,--,--,--
resnet,svhn,poisson,2,--,--,--
resnet,svhn,poisson,3,--,--,--
resnet,svhn,poisson,4,--,--,--
resnet,svhn,poisson,5,--,--,--
resnet,svhn,poisson,6,--,--,--
resnet,svhn,poisson,7,--,--,--
resnet,svhn,poisson,8,--,--,--
resnet,svhn,poisson,9,--,--,--
resnet,svhn,poisson,10,--,--,--
resnet,svhn,poisson,11,--,--,--
resnet,svhn,poisson,12,--,--,--
resnet,svhn,poisson,13,--,--,--
resnet,svhn,poisson,14,--,--,--
vgg,cifar10,none,--,--,--,--
vgg,cifar10,cauchy,1,--,--,--
vgg,cifar10,cauchy,2,--,--,--
vgg,cifar10,cauchy,3,--,--,--
vgg,cifar10,cauchy,4,--,--,--
vgg,cifar10,cauchy,5,--,--,--
vgg,cifar10,cauchy,6,--,--,--
vgg,cifar10,cauchy,7,--,--,--
vgg,cifar10,cauchy,8,--,--,--
vgg,cifar10,cauchy,9,--,--,--
vgg,cifar10,cauchy,10,--,--,--
vgg,cifar10,cauchy,11,--,--,--
vgg,cifar10,cauchy,12,--,--,--
vgg,cifar10,cauchy,13,--,--,--
vgg,cifar10,cauchy,14,--,--,--
vgg,cifar10,gaussian,1,--,--,--
vgg,cifar10,gaussian,2,--,--,--
vgg,cifar10,gaussian,3,--,--,--
vgg,cifar10,gaussian,4,--,--,--
vgg,cifar10,gaussian,5,--,--,--
vgg,cifar10,gaussian,6,--,--,--
vgg,cifar10,gaussian,7,--,--,--
vgg,cifar10,gaussian,8,--,--,--
vgg,cifar10,gaussian,9,--,--,--
vgg,cifar10,gaussian,10,--,--,--
vgg,cifar10,gaussian,11,--,--,--
vgg,cifar10,gaussian,12,--,--,--
vgg,cifar10,gaussian,13,--,--,--
vgg,cifar10,gaussian,14,--,--,--
vgg,cifar10,gumbel,1,--,--,--
vgg,cifar10,gumbel,2,--,--,--
vgg,cifar10,gumbel,3,--,--,--
vgg,cifar10,gumbel,4,--,--,--
vgg,cifar10,gumbel,5,--,--,--
vgg,cifar10,gumbel,6,--,--,--
vgg,cifar10,gumbel,7,--,--,--
vgg,cifar10,gumbel,8,--,--,--
vgg,cifar10,gumbel,9,--,--,--
vgg,cifar10,gumbel,10,--,--,--
vgg,cifar10,gumbel,11,--,--,--
vgg,cifar10,gumbel,12,--,--,--
vgg,cifar10,gumbel,13,--,--,--
vgg,cifar10,gumbel,14,--,--,--
vgg,cifar10,laplace,1,--,--,--
vgg,cifar10,laplace,2,--,--,--
vgg,cifar10,laplace,3,--,--,--
vgg,cifar10,laplace,4,--,--,--
vgg,cifar10,laplace,5,--,--,--
vgg,cifar10,laplace,6,--,--,--
vgg,cifar10,laplace,7,--,--,--
vgg,cifar10,laplace,8,--,--,--
vgg,cifar10,laplace,9,--,--,--
vgg,cifar10,laplace,10,--,--,--
vgg,cifar10,laplace,11,--,--,--
vgg,cifar10,laplace,12,--,--,--
vgg,cifar10,laplace,13,--,--,--
vgg,cifar10,laplace,14,--,--,--
vgg,cifar10,poisson,1,--,--,--
vgg,cifar10,poisson,2,--,--,--
vgg,cifar10,poisson,3,--,--,--
vgg,cifar10,poisson,4,--,--,--
vgg,cifar10,poisson,5,--,--,--
vgg,cifar10,poisson,6,--,--,--
vgg,cifar10,poisson,7,--,--,--
vgg,cifar10,poisson,8,--,--,--
vgg,cifar10,poisson,9,--,--,--
vgg,cifar10,poisson,10,--,--,--
vgg,cifar10,poisson,11,--,--,--
vgg,cifar10,poisson,12,--,--,--
vgg,cifar10,poisson,13,--,--,--
vgg,cifar10,poisson,14,--,--,--
vgg,cifar100,none,--,--,--,--
vgg,cifar100,cauchy,1,--,--,--
vgg,cifar100,cauchy,2,--,--,--
vgg,cifar100,cauchy,3,--,--,--
vgg,cifar100,cauchy,4,--,--,--
vgg,cifar100,cauchy,5,--,--,--
vgg,cifar100,cauchy,6,--,--,--
vgg,cifar100,cauchy,7,--,--,--
vgg,cifar100,cauchy,8,--,--,--
vgg,cifar100,cauchy,9,--,--,--
vgg,cifar100,cauchy,10,--,--,--
